,Unnamed: 0,participant,block,trial,direction,start_pos,start_pos_deg,t_start,t_end,stop_pos,stop_pos_deg,pos_pressed,pos_pressed_deg,error,error_deg,rt
53,53,P4,4,3,1,-450.0,-12.60412912808349,0.0,464.1201211619991,-42.0,-1.1763853852877924,-107.0,-2.996981814899852,-65.0,-1.8205964296120596,-0.385549042999628
54,54,P4,4,1,1,-450.0,-12.60412912808349,0.0,469.4877123499973,-126.0,-3.5291561558633773,-137.0,-3.8372570901054175,-11.0,-0.3081009342420408,-0.1519689039996592
55,55,P4,4,4,1,-450.0,-12.60412912808349,474.97034043399617,474.9523658079997,0.0,0.0,-89.0,-2.492816649776512,-89.0,-2.492816649776512,-0.0859843079961137
59,59,P4,5,5,1,-450.0,-12.60412912808349,549.3518712219957,549.4688202849939,42.0,1.1763853852877924,-111.0,-3.1090185182605943,-153.0,-4.285403903548386,-0.1028064560086932
61,61,P4,5,6,1,-450.0,-12.60412912808349,560.1861881639998,560.4193336989993,84.0,2.3527707705755847,-54.0,-1.5124954953700187,-138.0,-3.8652662659456034,-0.0526747580006485
63,63,P4,5,1,1,-450.0,-12.60412912808349,0.0,571.0025750200002,-126.0,-3.5291561558633773,-140.0,-3.9212846176259744,-14.0,-0.3921284617625974,-0.0372791670015431
66,66,P4,5,2,1,-450.0,-12.60412912808349,0.0,587.035002974997,-84.0,-2.3527707705755847,-121.0,-3.389110276662449,-37.0,-1.0363395060868643,-0.1192172380033298
67,67,P4,5,3,1,-450.0,-12.60412912808349,0.0,592.3517372099959,-42.0,-1.1763853852877924,-112.0,-3.13702769410078,-70.0,-1.9606423088129872,-0.0032104090059874
68,68,P4,5,7,1,-450.0,-12.60412912808349,597.6688249430008,598.0191432610009,126.0,3.5291561558633773,-17.0,-0.476155989283154,-143.0,-4.005312145146531,0.164851997004007
69,69,P4,5,4,1,-450.0,-12.60412912808349,603.1692388899974,603.1525717289987,0.0,0.0,-112.0,-3.13702769410078,-112.0,-3.13702769410078,-0.0693542669978342
70,70,P4,6,7,1,-450.0,-12.60412912808349,664.1865963289965,664.5358269079952,126.0,3.5291561558633773,5.0,0.1400458792009276,-121.0,-3.389110276662449,-0.20244613300747
74,74,P4,6,1,1,-450.0,-12.60412912808349,0.0,685.5354481670001,-126.0,-3.5291561558633773,-141.0,-3.94929379346616,-15.0,-0.420137637602783,-0.3862794259985094
76,76,P4,6,2,1,-450.0,-12.60412912808349,0.0,696.3359931419982,-84.0,-2.3527707705755847,-128.0,-3.585174507543748,-44.0,-1.2324037369681633,-0.0188982500039855
78,78,P4,6,6,1,-450.0,-12.60412912808349,706.785153619996,707.0189968569975,84.0,2.3527707705755847,1.0,0.0280091758401855,-83.0,-2.3247615947353992,0.164477024001826
80,80,P4,6,3,1,-450.0,-12.60412912808349,0.0,717.6187369539985,-42.0,-1.1763853852877924,-128.0,-3.585174507543748,-86.0,-2.408789122255956,0.0308143090005614
82,82,P4,6,4,1,-450.0,-12.60412912808349,728.6357032629967,728.6194721270003,0.0,0.0,-104.0,-2.9129542873792955,-104.0,-2.9129542873792955,-0.1349623259957297
83,83,P4,6,5,1,-450.0,-12.60412912808349,734.0854311570001,734.2024939619951,42.0,1.1763853852877924,-107.0,-2.996981814899852,-149.0,-4.173367200187644,-0.0361229900008766
87,87,P4,7,6,1,-450.0,-12.60412912808349,784.8351538379939,785.0690917979955,84.0,2.3527707705755847,-65.0,-1.8205964296120596,-149.0,-4.173367200187644,0.1301446649958961
90,90,P4,7,7,1,-450.0,-12.60412912808349,800.4522141369962,800.8016548749947,126.0,3.5291561558633773,-75.0,-2.1006881880139145,-201.0,-5.629844343877291,-0.1368023850081954
91,91,P4,7,4,1,-450.0,-12.60412912808349,806.2521980289966,806.2355077179964,0.0,0.0,-101.0,-2.828926759858738,-101.0,-2.828926759858738,-0.1699810089994571
92,92,P4,7,1,1,-450.0,-12.60412912808349,0.0,811.3688232069981,-126.0,-3.5291561558633773,-137.0,-3.8372570901054175,-11.0,-0.3081009342420408,-0.153657054004725
95,95,P4,7,3,1,-450.0,-12.60412912808349,0.0,827.5021555200001,-42.0,-1.1763853852877924,-115.0,-3.221055221621336,-73.0,-2.044669836333544,0.0803713450004579
96,96,P4,7,5,1,-450.0,-12.60412912808349,832.7516493889998,832.8686807019985,42.0,1.1763853852877924,-105.0,-2.940963463219481,-147.0,-4.117348848507273,0.1301207369979238
97,97,P4,7,2,1,-450.0,-12.60412912808349,0.0,837.8353205999956,-84.0,-2.3527707705755847,-142.0,-3.977302969306345,-58.0,-1.6245321987307606,-0.3527238240058068
98,98,P4,8,7,1,-450.0,-12.60412912808349,877.6352363849946,877.9855180489976,126.0,3.5291561558633773,39.0,1.0923578577672357,-87.0,-2.436798298096141,-0.4696685910021188
101,101,P4,8,5,1,-450.0,-12.60412912808349,894.485885326998,894.6024203359993,42.0,1.1763853852877924,-37.0,-1.0363395060868643,-79.0,-2.212724891374657,-0.2866431079964968
103,103,P4,8,6,1,-450.0,-12.60412912808349,906.1516233410002,906.3855280409988,84.0,2.3527707705755847,-13.0,-0.3641192859224119,-97.0,-2.7168900564979968,-0.1037678880020394
107,107,P4,8,2,1,-450.0,-12.60412912808349,0.0,927.3693817370004,-84.0,-2.3527707705755847,-102.0,-2.856935935698924,-18.0,-0.5041651651233395,-0.1197186429999419
108,108,P4,8,3,1,-450.0,-12.60412912808349,0.0,932.7025047329952,-42.0,-1.1763853852877924,-133.0,-3.725220386744676,-91.0,-2.5488350014568835,-0.2700151560056838
109,109,P4,8,4,1,-450.0,-12.60412912808349,938.3025964379996,938.285856151997,0.0,0.0,-109.0,-3.053000166580223,-109.0,-3.053000166580223,0.0798535339999944
111,111,P4,8,1,1,-450.0,-12.60412912808349,0.0,948.2859604689947,-126.0,-3.5291561558633773,-144.0,-4.033321320986716,-18.0,-0.5041651651233395,0.0146996539988322
