,Unnamed: 0,participant,block,trial,direction,start_pos,start_pos_deg,t_start,t_end,stop_pos,stop_pos_deg,pos_pressed,pos_pressed_deg,error,error_deg,rt
27,27,P3,2,2,2,450.0,12.60412912808349,250.5629561110036,250.7966328399998,84.0,-2.3527707705755847,-17.0,-0.476155989283154,-67.0,-1.8766147812924308,0.0261606610001763
28,28,P3,3,4,2,450.0,12.60412912808349,335.0485221179988,335.0316426370045,-0.0,0.0,-13.0,-0.3641192859224119,13.0,0.3641192859224119,-0.0229753239909769
31,31,P3,3,2,2,450.0,12.60412912808349,350.948262676,351.1813498370029,84.0,-2.3527707705755847,19.0,0.532174340963525,-103.0,-2.8849451115391096,0.226942733002943
32,32,P3,3,7,2,450.0,12.60412912808349,0.0,356.0147309460008,-126.0,3.5291561558633773,114.0,3.1930460457811503,12.0,0.3361101100822264,-0.2395516889955615
34,34,P3,3,6,2,450.0,12.60412912808349,0.0,366.61512386300456,-84.0,2.3527707705755847,138.0,3.8652662659456034,-54.0,-1.5124954953700187,0.1098427140095736
36,36,P3,3,3,2,450.0,12.60412912808349,377.4317560080017,377.54861304099904,42.0,-1.1763853852877924,40.0,1.1203670336074214,-82.0,-2.2967524188952138,0.1771649590009474
37,37,P3,3,5,2,450.0,12.60412912808349,0.0,382.6653793170044,-42.0,1.1763853852877924,80.0,2.240734067214843,-38.0,-1.06434868192705,0.1596413240040419
41,41,P3,3,1,2,450.0,12.60412912808349,404.1321814910043,404.4824076959994,126.0,-3.5291561558633773,-38.0,-1.06434868192705,-88.0,-2.4648074739363266,-0.4063720459962496
45,45,P3,4,3,2,450.0,12.60412912808349,487.60043569400295,487.71721703300136,42.0,-1.1763853852877924,28.0,0.7842569235251949,-70.0,-1.9606423088129872,0.0437187500065192
48,48,P3,4,6,2,450.0,12.60412912808349,0.0,503.0838349490005,-84.0,2.3527707705755847,124.0,3.473137804183006,-40.0,-1.1203670336074214,0.22647694900661
49,49,P3,4,1,2,450.0,12.60412912808349,508.2505468800009,508.6004737250041,126.0,-3.5291561558633773,25.0,0.7002293960046383,-151.0,-4.229385551868015,-0.0731991459906566
50,50,P3,4,4,2,450.0,12.60412912808349,514.0672470459976,514.0507250939991,-0.0,0.0,79.0,2.212724891374657,-79.0,-2.212724891374657,-0.1062750689961831
51,51,P3,4,2,2,450.0,12.60412912808349,519.5508458449985,519.7843980890029,84.0,-2.3527707705755847,21.0,0.5881926926438962,-105.0,-2.940963463219481,-0.0058545249921735
52,52,P3,4,5,2,450.0,12.60412912808349,0.0,525.0842056710026,-42.0,1.1763853852877924,86.0,2.408789122255956,-44.0,-1.2324037369681633,0.0095174730086
53,53,P3,4,7,2,450.0,12.60412912808349,0.0,530.1511020649996,-126.0,3.5291561558633773,134.0,3.7532295625848615,-8.0,-0.2240734067214842,0.0605462599996826
