,participant,block,trial,direction,start_pos,start_pos_deg,t_start,t_end,stop_pos,stop_pos_deg,pos_pressed,pos_pressed_deg,error,error_deg,rt
0,P3,1,7,1,-450.0,-12.60412912808349,46.426509766999516,46.77620920300251,126.0,3.5291561558633773,65.0,1.8205964296120594,-61.0,-1.7085597262513175,-1.3897742479966837
1,P3,1,7,2,450.0,12.60412912808349,0.0,53.22655954799848,126.0,3.5291561558633773,115.0,3.2210552216213357,11.0,0.3081009342420408,-0.3394689259948791
2,P3,1,6,1,-450.0,-12.60412912808349,58.97639008999977,59.20975729600468,84.0,2.3527707705755847,-5.0,-0.14004587920092768,-89.0,-2.492816649776512,-0.15644420799071668
3,P3,1,2,2,450.0,12.60412912808349,64.77668287900451,65.01006760800374,-84.0,-2.3527707705755847,14.0,0.39212846176259747,-98.0,-2.7448992323381822,-0.20615400199312717
4,P3,1,4,2,450.0,12.60412912808349,70.61026711600425,70.59335017500416,0.0,0.0,61.0,1.7085597262513175,-61.0,-1.7085597262513175,-0.22314470199489733
5,P3,1,6,2,450.0,12.60412912808349,0.0,75.97701879800297,84.0,2.3527707705755847,126.0,3.5291561558633773,-42.0,-1.1763853852877924,-0.20658926099713426
6,P3,1,3,2,450.0,12.60412912808349,81.57687849899958,81.69362765199912,-42.0,-1.1763853852877924,-14.0,-0.39212846176259747,-28.0,-0.7842569235251949,-0.407249887000944
7,P3,1,4,1,-450.0,-12.60412912808349,87.49391130299773,87.47702748900338,0.0,0.0,-67.0,-1.8766147812924308,-67.0,-1.8766147812924308,-0.03967086199554615
8,P3,1,5,2,450.0,12.60412912808349,0.0,92.79374535500392,42.0,1.1763853852877924,74.0,2.072679012173729,-32.0,-0.896293626885937,-0.07277161499223439
9,P3,1,1,2,450.0,12.60412912808349,98.26049667900224,98.61072738200164,-126.0,-3.5291561558633773,-20.0,-0.5601835168037107,-106.0,-2.9689726390596665,-0.07276811599876964
10,P3,1,1,1,-450.0,-12.60412912808349,0.0,103.73979279500054,-126.0,-3.5291561558633773,-136.0,-3.8092479142652325,-10.0,-0.28009175840185535,-0.4436056379927322
11,P3,1,5,1,-450.0,-12.60412912808349,109.59408193000127,109.71070850099932,42.0,1.1763853852877924,-24.0,-0.6722202201644528,-66.0,-1.8486056054522453,-0.08953089099668432
12,P3,1,2,1,-450.0,-12.60412912808349,0.0,114.97744909700123,-84.0,-2.3527707705755847,-121.0,-3.3891102766624495,-37.0,-1.0363395060868645,-0.057058692997088656
13,P3,1,3,1,-450.0,-12.60412912808349,0.0,120.34468898900377,-42.0,-1.1763853852877924,-102.0,-2.8569359356989237,-60.0,-1.680550550411132,-0.15628367799217813
14,P3,2,3,2,450.0,12.60412912808349,180.6787747319977,180.79533801999787,-42.0,-1.1763853852877924,-22.0,-0.6162018684840816,-20.0,-0.5601835168037107,0.010322401998564601
15,P3,2,2,1,-450.0,-12.60412912808349,0.0,185.94539746100054,-84.0,-2.3527707705755847,-119.0,-3.3330919249820785,-35.0,-0.9803211544064936,-0.47317556199413957
16,P3,2,4,2,450.0,12.60412912808349,191.81205282999872,191.79537626000092,0.0,0.0,3.0,0.0840275275205566,-3.0,-0.0840275275205566,0.10926637000375194
17,P3,2,6,2,450.0,12.60412912808349,0.0,196.8457289700018,84.0,2.3527707705755847,113.0,3.1650368699409652,-29.0,-0.8122660993653803,0.12641849100327818
18,P3,2,5,2,450.0,12.60412912808349,0.0,201.99553131299763,42.0,1.1763853852877924,69.0,1.9326331329728017,-27.0,-0.7562477476850094,0.24369121700146934
19,P3,2,7,2,450.0,12.60412912808349,0.0,206.79554134800128,126.0,3.5291561558633773,129.0,3.613183683383933,-3.0,-0.0840275275205566,0.026385104007204063
20,P3,2,4,1,-450.0,-12.60412912808349,212.1789084550037,212.16252412299946,0.0,0.0,-75.0,-2.1006881880139145,-75.0,-2.1006881880139145,0.12681229800364235
21,P3,2,1,2,450.0,12.60412912808349,217.44594048400177,217.795785565002,-126.0,-3.5291561558633773,-2.0,-0.05601835168037106,-124.0,-3.473137804183006,-0.3729214989944012
22,P3,2,3,1,-450.0,-12.60412912808349,0.0,223.4631434030016,-42.0,-1.1763853852877924,-87.0,-2.436798298096141,-45.0,-1.2604129128083488,0.09340600600262405
23,P3,2,6,1,-450.0,-12.60412912808349,228.78006689299946,229.01346876299795,84.0,2.3527707705755847,25.0,0.7002293960046383,-59.0,-1.6525413745709465,0.2775511479994748
24,P3,2,5,1,-450.0,-12.60412912808349,234.14706432200182,234.26335870500043,42.0,1.1763853852877924,-34.0,-0.9523119785663081,-76.0,-2.1286973638541,0.14383749800617807
25,P3,2,1,1,-450.0,-12.60412912808349,0.0,239.1806044039986,-126.0,-3.5291561558633773,-134.0,-3.7532295625848615,-8.0,-0.22407340672148424,-0.2391446490000817
26,P3,2,7,1,-450.0,-12.60412912808349,244.83039312800247,245.18032402400422,126.0,3.5291561558633773,36.0,1.008330330246679,-90.0,-2.5208258256166975,0.026869448003708385
27,P3,2,2,2,450.0,12.60412912808349,250.5629561110036,250.7966328399998,-84.0,-2.3527707705755847,-17.0,-0.47615598928315406,-67.0,-1.8766147812924308,0.026160661000176333
28,P3,3,4,2,450.0,12.60412912808349,335.0485221179988,335.03164263700455,0.0,0.0,-13.0,-0.36411928592241194,13.0,0.36411928592241194,-0.022975323990976904
