,participant,block,trial,direction,start_pos,start_pos_deg,t_start,t_end,stop_pos,stop_pos_deg,pos_pressed,pos_pressed_deg,error,error_deg,rt
0,P11,1,6,1,-450.0,-12.60412912808349,125.11858827900141,125.3521160230157,84.0,2.3527707705755847,51.0,1.4284679678494618,-33.0,-0.9243028027261226,-1.5711482399783563
1,P11,1,1,2,450.0,12.60412912808349,132.21958295902004,132.5694047800207,-126.0,-3.5291561558633773,-108.0,-3.0249909907400374,-18.0,-0.5041651651233395,-0.5371109589759726
2,P11,1,3,2,450.0,12.60412912808349,138.40272503200686,138.5195947610191,-42.0,-1.1763853852877924,59.0,1.6525413745709465,-101.0,-2.828926759858738,-0.48722887798794545
3,P11,1,5,1,-450.0,-12.60412912808349,144.30332725401968,144.42006455600495,42.0,1.1763853852877924,-81.0,-2.2687432430550283,-123.0,-3.4451286283428204,-0.5536253839964047
4,P11,1,3,1,-450.0,-12.60412912808349,0.0,150.15364470300847,-42.0,-1.1763853852877924,-100.0,-2.800917584018553,-58.0,-1.6245321987307606,-0.303994697984308
5,P11,1,7,2,450.0,12.60412912808349,0.0,155.40251730399905,126.0,3.5291561558633773,159.0,4.453458958589499,-33.0,-0.9243028027261226,-0.9375155580055434
6,P11,1,2,2,450.0,12.60412912808349,161.6362434560142,161.86945829499746,-84.0,-2.3527707705755847,-59.0,-1.6525413745709465,-25.0,-0.7002293960046383,-0.5054426369897556
7,P11,1,7,1,-450.0,-12.60412912808349,167.66927170401323,168.0196918620204,126.0,3.5291561558633773,48.0,1.3444404403289056,-78.0,-2.1847157155344714,-0.437291482987348
8,P11,1,5,2,450.0,12.60412912808349,0.0,173.63606608999544,42.0,1.1763853852877924,108.0,3.0249909907400374,-66.0,-1.8486056054522453,-0.3048122269974556
9,P11,1,4,1,-450.0,-12.60412912808349,179.23622164700646,179.21950381001807,0.0,0.0,-95.0,-2.660871704817626,-95.0,-2.660871704817626,-0.10454032599227503
10,P11,1,1,1,-450.0,-12.60412912808349,0.0,184.2698235429998,-126.0,-3.5291561558633773,-156.0,-4.369431431068943,-30.0,-0.840275275205566,-0.8540694309922401
11,P11,1,4,2,450.0,12.60412912808349,190.40335057702032,190.38660164902103,0.0,0.0,92.0,2.576844177297069,-92.0,-2.576844177297069,-0.8211307769815903
12,P11,1,6,2,450.0,12.60412912808349,0.0,196.25333859599777,84.0,2.3527707705755847,146.0,4.089339672667088,-62.0,-1.736568902091503,-0.2044521110074129
13,P11,1,2,1,-450.0,-12.60412912808349,0.0,201.50338920301874,-84.0,-2.3527707705755847,-135.0,-3.7812387384250465,-51.0,-1.4284679678494618,-0.5378567299921997
14,P11,2,6,1,-450.0,-12.60412912808349,245.13832257300965,245.3715773730073,84.0,2.3527707705755847,4.0,0.11203670336074212,-80.0,-2.240734067214843,-0.4368618190055713
15,P11,2,3,2,450.0,12.60412912808349,251.10531249601627,251.22208412899636,-42.0,-1.1763853852877924,84.0,2.3527707705755847,-126.0,-3.5291561558633773,-0.7201426289975643
16,P11,2,6,2,450.0,12.60412912808349,0.0,257.0052746809961,84.0,2.3527707705755847,154.0,4.313413079388572,-70.0,-1.9606423088129872,-1.0866869869932998
17,P11,2,7,1,-450.0,-12.60412912808349,263.38776645000326,263.7378764760215,126.0,3.5291561558633773,88.0,2.4648074739363266,-38.0,-1.06434868192705,-0.703990376990987
18,P11,2,7,2,450.0,12.60412912808349,0.0,269.38801824802067,126.0,3.5291561558633773,153.0,4.285403903548386,-27.0,-0.7562477476850094,-0.7372489009867422
19,P11,2,4,2,450.0,12.60412912808349,275.42147940202267,275.4045920240169,0.0,0.0,97.0,2.7168900564979968,-97.0,-2.7168900564979968,-0.43724500297685154
20,P11,2,1,2,450.0,12.60412912808349,281.1379565910029,281.48829989501974,-126.0,-3.5291561558633773,-56.0,-1.5685138470503899,-70.0,-1.9606423088129872,-0.8703157189884223
21,P11,2,3,1,-450.0,-12.60412912808349,0.0,287.5382273569994,-42.0,-1.1763853852877924,-104.0,-2.9129542873792955,-62.0,-1.736568902091503,-0.5705824329925235
22,P11,2,2,2,450.0,12.60412912808349,293.3882884750201,293.62155680701835,-84.0,-2.3527707705755847,41.0,1.1483762094476069,-125.0,-3.5011469800231914,-0.8042101839673705
23,P11,2,1,1,-450.0,-12.60412912808349,0.0,299.35504021300585,-126.0,-3.5291561558633773,-154.0,-4.313413079388572,-28.0,-0.7842569235251949,-0.5382580949808471
24,P11,2,2,1,-450.0,-12.60412912808349,0.0,304.93842658100766,-84.0,-2.3527707705755847,-157.0,-4.397440606909128,-73.0,-2.044669836333544,-0.5210800769855268
25,P11,2,5,2,450.0,12.60412912808349,0.0,310.62207099300576,42.0,1.1763853852877924,104.0,2.9129542873792955,-62.0,-1.736568902091503,-0.20403979398543015
26,P11,2,5,1,-450.0,-12.60412912808349,316.1053495609958,316.22204596499796,42.0,1.1763853852877924,-54.0,-1.5124954953700187,-96.0,-2.6888808806578113,-0.23701075901044533
27,P11,2,4,1,-450.0,-12.60412912808349,321.73880775200087,321.7220810690196,0.0,0.0,-99.0,-2.7729084081783677,-99.0,-2.7729084081783677,-0.3542406609922182
28,P11,3,3,2,450.0,12.60412912808349,364.57287876101327,364.6892788289988,-42.0,-1.1763853852877924,-12.0,-0.3361101100822264,-30.0,-0.840275275205566,-0.3044063069974072
29,P11,3,6,1,-450.0,-12.60412912808349,370.28956633401685,370.5230006110214,84.0,2.3527707705755847,-2.0,-0.05601835168037106,-86.0,-2.4087891222559557,-0.9052647139760666
30,P11,3,7,2,450.0,12.60412912808349,0.0,376.38963021102245,126.0,3.5291561558633773,157.0,4.397440606909128,-31.0,-0.8682844510457515,-0.4876731129770633
31,P11,3,2,2,450.0,12.60412912808349,382.1733005240094,382.4065275010071,-84.0,-2.3527707705755847,18.0,0.5041651651233395,-102.0,-2.8569359356989237,-0.7702659560018219
32,P11,3,6,2,450.0,12.60412912808349,0.0,388.23966500899405,84.0,2.3527707705755847,156.0,4.369431431068943,-72.0,-2.016660660493358,-0.6713133350131102
33,P11,3,4,2,450.0,12.60412912808349,394.19017441102187,394.1733445280115,0.0,0.0,100.0,2.800917584018553,-100.0,-2.800917584018553,-0.6039850329980254
34,P11,3,2,1,-450.0,-12.60412912808349,0.0,399.823473957018,-84.0,-2.3527707705755847,-156.0,-4.369431431068943,-72.0,-2.016660660493358,-0.6538967559754383
