,participant,block,trial,direction,start_pos,start_pos_deg,t_start,t_end,stop_pos,stop_pos_deg,pos_pressed,pos_pressed_deg,error,error_deg,rt
0,P20,1,6,2,450.0,12.60412912808349,0.0,59.21323719199995,84.0,2.3527707705755847,26.0,0.7282385718448239,58.0,1.6245321987307606,-0.4507208030000811
1,P20,1,6,1,-450.0,-12.60412912808349,64.979899542,65.21326419399998,84.0,2.3527707705755847,-2.0,-0.05601835168037106,-86.0,-2.4087891222559557,-1.0840455490000522
2,P20,1,1,1,-450.0,-12.60412912808349,0.0,71.263485447,-126.0,-3.5291561558633773,-119.0,-3.3330919249820785,7.0,0.19606423088129873,-0.9843777449999607
3,P20,1,5,1,-450.0,-12.60412912808349,77.56377642299992,77.6802575779999,42.0,1.1763853852877924,-1.0,-0.02800917584018553,-43.0,-1.2043945611279778,-0.9013803830000597
4,P20,1,4,2,450.0,12.60412912808349,83.89705203699998,83.880348132,0.0,0.0,26.0,0.7282385718448239,-26.0,-0.7282385718448239,-0.4340951460000042
5,P20,1,1,2,450.0,12.60412912808349,89.63025573899995,89.980266003,-126.0,-3.5291561558633773,-51.0,-1.4284679678494618,-75.0,-2.1006881880139145,-1.1847329510000009
6,P20,1,4,1,-450.0,-12.60412912808349,96.48081385299997,96.46376347899991,0.0,0.0,-53.0,-1.4844863195298332,-53.0,-1.4844863195298332,-0.6674870470001224
7,P20,1,7,2,450.0,12.60412912808349,0.0,102.11409015899994,126.0,3.5291561558633773,106.0,2.9689726390596665,20.0,0.5601835168037107,-1.1839691370000764
8,P20,1,5,2,450.0,12.60412912808349,0.0,108.51428999799998,42.0,1.1763853852877924,83.0,2.3247615947353992,-41.0,-1.1483762094476069,-1.2676966819999507
9,P20,1,7,1,-450.0,-12.60412912808349,115.11491319899994,115.46477701899994,126.0,3.5291561558633773,47.0,1.31643126448872,-79.0,-2.212724891374657,-0.483735030000048
10,P20,1,2,1,-450.0,-12.60412912808349,0.0,121.0481380739999,-84.0,-2.3527707705755847,-114.0,-3.1930460457811503,-30.0,-0.840275275205566,-0.9338984890000575
11,P20,1,3,1,-450.0,-12.60412912808349,0.0,127.19867555299993,-42.0,-1.1763853852877924,-100.0,-2.800917584018553,-58.0,-1.6245321987307606,-0.9336312270000917
12,P20,1,3,2,450.0,12.60412912808349,133.46588902099995,133.58224421399996,-42.0,-1.1763853852877924,29.0,0.8122660993653803,-71.0,-1.9886514846531724,-0.23409922000007555
13,P20,1,2,2,450.0,12.60412912808349,139.1478289979999,139.3814844819999,-84.0,-2.3527707705755847,5.0,0.14004587920092768,-89.0,-2.492816649776512,-0.40092146600011347
14,P20,2,2,1,-450.0,-12.60412912808349,0.0,175.7319489649999,-84.0,-2.3527707705755847,-98.0,-2.7448992323381822,-14.0,-0.39212846176259747,-0.8511827080000103
15,P20,2,1,2,450.0,12.60412912808349,181.89877542399995,182.24870404399985,-126.0,-3.5291561558633773,-53.0,-1.4844863195298332,-73.0,-2.044669836333544,-0.8677672240002039
16,P20,2,1,1,-450.0,-12.60412912808349,0.0,188.08226368299984,-126.0,-3.5291561558633773,-138.0,-3.8652662659456034,-12.0,-0.3361101100822264,-1.3175424570000587
17,P20,2,2,2,450.0,12.60412912808349,194.71576593199984,194.94896853599994,-84.0,-2.3527707705755847,7.0,0.19606423088129873,-91.0,-2.5488350014568835,-0.8008465500000739
18,P20,2,6,2,450.0,12.60412912808349,0.0,200.83223504600005,84.0,2.3527707705755847,90.0,2.5208258256166975,-6.0,-0.1680550550411132,-0.6008792909998419
19,P20,2,7,1,-450.0,-12.60412912808349,206.76556665299995,207.11574081899994,126.0,3.5291561558633773,67.0,1.8766147812924308,-59.0,-1.6525413745709465,-0.5506580899999562
20,P20,2,5,2,450.0,12.60412912808349,0.0,212.88269512199986,42.0,1.1763853852877924,60.0,1.680550550411132,-18.0,-0.5041651651233395,-0.9341347650000671
21,P20,2,7,2,450.0,12.60412912808349,0.0,218.79968005,126.0,3.5291561558633773,114.0,3.1930460457811503,12.0,0.3361101100822264,-0.6337976749999825
22,P20,2,3,1,-450.0,-12.60412912808349,0.0,224.65010936299996,-42.0,-1.1763853852877924,-51.0,-1.4284679678494618,-9.0,-0.25208258256166977,-0.31670427300002757
23,P20,2,6,1,-450.0,-12.60412912808349,230.30039831499994,230.53388905299994,84.0,2.3527707705755847,-4.0,-0.11203670336074212,-88.0,-2.4648074739363266,-0.5332961360001036
24,P20,2,4,1,-450.0,-12.60412912808349,236.4006055079999,236.38377925099985,0.0,0.0,-72.0,-2.016660660493358,-72.0,-2.016660660493358,-0.9175903370002061
25,P20,2,5,1,-450.0,-12.60412912808349,242.63343149599996,242.75004707699986,42.0,1.1763853852877924,-24.0,-0.6722202201644528,-66.0,-1.8486056054522453,-0.5337418660000139
26,P20,2,4,2,450.0,12.60412912808349,248.61673776499993,248.59987789299998,0.0,0.0,43.0,1.2043945611279778,-43.0,-1.2043945611279778,-1.000744993000012
27,P20,2,3,2,450.0,12.60412912808349,254.93319294999992,255.05012617399984,-42.0,-1.1763853852877924,37.0,1.0363395060868645,-79.0,-2.212724891374657,-0.7511657720000358
28,P20,3,4,1,-450.0,-12.60412912808349,284.417097518,284.40054806299986,0.0,0.0,-34.0,-0.9523119785663081,-34.0,-0.9523119785663081,-0.8341432150001538
29,P20,3,2,2,450.0,12.60412912808349,290.550404697,290.7836248169999,-84.0,-2.3527707705755847,-10.0,-0.28009175840185535,-74.0,-2.072679012173729,-0.651674541000034
30,P20,3,3,1,-450.0,-12.60412912808349,0.0,296.634016857,-42.0,-1.1763853852877924,-74.0,-2.072679012173729,-32.0,-0.896293626885937,-0.6338327489999074
31,P20,3,7,2,450.0,12.60412912808349,0.0,302.23404307500005,126.0,3.5291561558633773,130.0,3.6411928592241187,-4.0,-0.11203670336074212,-0.8674590970000509
32,P20,3,5,1,-450.0,-12.60412912808349,308.4303116379999,308.54710005699985,42.0,1.1763853852877924,-18.0,-0.5041651651233395,-60.0,-1.680550550411132,-0.6375244360000352
33,P20,3,7,1,-450.0,-12.60412912808349,314.5175483109999,314.8676030439999,126.0,3.5291561558633773,44.0,1.2324037369681633,-82.0,-2.2967524188952138,-0.9503071269999737
34,P20,3,3,2,450.0,12.60412912808349,321.151003534,321.267907787,-42.0,-1.1763853852877924,-8.0,-0.22407340672148424,-34.0,-0.9523119785663081,-0.601211120999892
35,P20,3,6,1,-450.0,-12.60412912808349,327.201614692,327.435097049,84.0,2.3527707705755847,-4.0,-0.11203670336074212,-88.0,-2.4648074739363266,-0.9500203799999554
36,P20,3,2,1,-450.0,-12.60412912808349,0.0,333.4854094909999,-84.0,-2.3527707705755847,-100.0,-2.800917584018553,-16.0,-0.4481468134429685,-0.4501802250000537
37,P20,3,5,2,450.0,12.60412912808349,0.0,339.152114278,42.0,1.1763853852877924,66.0,1.8486056054522453,-24.0,-0.6722202201644528,-0.38379579299987654
38,P20,3,6,2,450.0,12.60412912808349,0.0,344.636103067,84.0,2.3527707705755847,112.0,3.1370276941007798,-28.0,-0.7842569235251949,-1.4502961370000094
39,P20,3,1,1,-450.0,-12.60412912808349,0.0,351.068236563,-126.0,-3.5291561558633773,-141.0,-3.94929379346616,-15.0,-0.420137637602783,-0.8004812479999828
40,P20,3,4,2,450.0,12.60412912808349,357.20156187299995,357.184731607,0.0,0.0,44.0,1.2324037369681633,-44.0,-1.2324037369681633,-0.5008160319999888
41,P20,3,1,2,450.0,12.60412912808349,363.018344435,363.36842844600005,-126.0,-3.5291561558633773,-18.0,-0.5041651651233395,-108.0,-3.0249909907400374,-0.3838697820000334
42,P20,4,7,1,-450.0,-12.60412912808349,445.4707661929999,445.8206953869999,126.0,3.5291561558633773,17.0,0.47615598928315406,-109.0,-3.053000166580223,-0.6839766599999848
43,P20,4,1,2,450.0,12.60412912808349,451.8362030799999,452.18642046800005,-126.0,-3.5291561558633773,-44.0,-1.2324037369681633,-82.0,-2.2967524188952138,-0.8844175799998766
44,P20,4,7,2,450.0,12.60412912808349,0.0,458.0532837609999,126.0,3.5291561558633773,125.0,3.5011469800231914,1.0,0.02800917584018553,-0.6673101040001939
45,P20,4,3,1,-450.0,-12.60412912808349,0.0,463.936823815,-42.0,-1.1763853852877924,-76.0,-2.1286973638541,-34.0,-0.9523119785663081,-0.9844884129998945
46,P20,4,4,2,450.0,12.60412912808349,470.2537452639999,470.23688044799997,0.0,0.0,62.0,1.736568902091503,-62.0,-1.736568902091503,-0.5509361729999682
47,P20,4,6,1,-450.0,-12.60412912808349,476.12005749700006,476.35344846199996,84.0,2.3527707705755847,16.0,0.4481468134429685,-68.0,-1.9046239571326162,-0.7186804799999891
48,P20,4,2,1,-450.0,-12.60412912808349,0.0,482.18695629800004,-84.0,-2.3527707705755847,-112.0,-3.1370276941007798,-28.0,-0.7842569235251949,-0.11736413000005541
49,P20,4,4,1,-450.0,-12.60412912808349,487.62028614299993,487.6037531459999,0.0,0.0,-52.0,-1.4564771436896478,-52.0,-1.4564771436896478,-0.6175012869999819
50,P20,4,5,2,450.0,12.60412912808349,0.0,493.42048066200005,42.0,1.1763853852877924,62.0,1.736568902091503,-20.0,-0.5601835168037107,-0.4679307759998892
51,P20,4,6,2,450.0,12.60412912808349,0.0,498.970626241,84.0,2.3527707705755847,87.0,2.436798298096141,-3.0,-0.0840275275205566,-0.8013232340000513
52,P20,4,3,2,450.0,12.60412912808349,505.08719477299996,505.20384485599993,-42.0,-1.1763853852877924,30.0,0.840275275205566,-72.0,-2.016660660493358,-0.7172572350001474
53,P20,4,2,2,450.0,12.60412912808349,511.2372440429999,511.47088400100006,-84.0,-2.3527707705755847,2.0,0.05601835168037106,-86.0,-2.4087891222559557,-0.5842973499999289
54,P20,4,5,1,-450.0,-12.60412912808349,517.3834714289999,517.500008213,42.0,1.1763853852877924,-35.0,-0.9803211544064936,-77.0,-2.156706539694286,-0.4382428630000277
55,P20,4,1,1,-450.0,-12.60412912808349,0.0,522.921109011,-126.0,-3.5291561558633773,-126.0,-3.5291561558633773,0.0,0.0,-0.5510811359998797
56,P20,5,1,1,-450.0,-12.60412912808349,0.0,551.655431811,-126.0,-3.5291561558633773,-137.0,-3.8372570901054184,-11.0,-0.3081009342420408,-0.8339055719999351
57,P20,5,1,2,450.0,12.60412912808349,557.8213361349999,558.171481607,-126.0,-3.5291561558633773,-14.0,-0.39212846176259747,-112.0,-3.1370276941007798,-0.23455240600003435
58,P20,5,2,1,-450.0,-12.60412912808349,0.0,563.505056166,-84.0,-2.3527707705755847,-98.0,-2.7448992323381822,-14.0,-0.39212846176259747,-0.33371078399989074
59,P20,5,6,2,450.0,12.60412912808349,0.0,568.938297574,84.0,2.3527707705755847,105.0,2.940963463219481,-21.0,-0.5881926926438962,-0.8176325969999425
60,P20,5,6,1,-450.0,-12.60412912808349,575.088581841,575.3219606949999,84.0,2.3527707705755847,9.0,0.25208258256166977,-75.0,-2.1006881880139145,-0.4337464809999574
61,P20,5,7,2,450.0,12.60412912808349,0.0,580.738563636,126.0,3.5291561558633773,140.0,3.9212846176259744,-14.0,-0.39212846176259747,-0.30055322999999134
62,P20,5,4,1,-450.0,-12.60412912808349,586.355157319,586.3385739949999,0.0,0.0,-62.0,-1.736568902091503,-62.0,-1.736568902091503,-0.550895794999974
63,P20,5,3,1,-450.0,-12.60412912808349,0.0,592.0886698429999,-42.0,-1.1763853852877924,-106.0,-2.9689726390596665,-64.0,-1.792587253771874,-0.7676371730000255
64,P20,5,4,2,450.0,12.60412912808349,598.1721954059999,598.1553210120001,0.0,0.0,38.0,1.06434868192705,-38.0,-1.06434868192705,-0.9182621629998948
65,P20,5,5,1,-450.0,-12.60412912808349,604.3889207499999,604.505684946,42.0,1.1763853852877924,-12.0,-0.3361101100822264,-54.0,-1.5124954953700187,-0.40112137099993106
66,P20,5,3,2,450.0,12.60412912808349,610.222186577,610.339187902,-42.0,-1.1763853852877924,14.0,0.39212846176259747,-56.0,-1.5685138470503899,-0.3001644150000402
67,P20,5,7,1,-450.0,-12.60412912808349,615.95575594,616.3057658149999,126.0,3.5291561558633773,11.0,0.3081009342420408,-115.0,-3.2210552216213357,-0.3004689030000236
68,P20,5,5,2,450.0,12.60412912808349,0.0,621.8191385359999,42.0,1.1763853852877924,63.0,1.7645780779316886,-21.0,-0.5881926926438962,-0.5881818730000532
69,P20,5,2,2,450.0,12.60412912808349,627.7392683149999,627.9726173269999,-84.0,-2.3527707705755847,12.0,0.3361101100822264,-96.0,-2.6888808806578113,-0.5511129420000316
70,P20,6,4,1,-450.0,-12.60412912808349,652.2403916349999,652.2240891899999,0.0,0.0,-34.0,-0.9523119785663081,-34.0,-0.9523119785663081,-0.7677521440001556
71,P20,6,5,1,-450.0,-12.60412912808349,658.340511036,658.457230621,42.0,1.1763853852877924,-29.0,-0.8122660993653803,-71.0,-1.9886514846531724,-1.0664478869999812
72,P20,6,5,2,450.0,12.60412912808349,0.0,664.7403001299999,42.0,1.1763853852877924,65.0,1.8205964296120594,-23.0,-0.6442110443242672,-0.4676935660000936
73,P20,6,6,1,-450.0,-12.60412912808349,670.5564404029999,670.7900261099999,84.0,2.3527707705755847,4.0,0.11203670336074212,-80.0,-2.240734067214843,-0.5171170960001064
74,P20,6,1,2,450.0,12.60412912808349,676.640168765,676.9901136019998,-126.0,-3.5291561558633773,-23.0,-0.6442110443242672,-103.0,-2.8849451115391096,-0.3004178360000651
75,P20,6,2,2,450.0,12.60412912808349,682.623550583,682.856829094,-84.0,-2.3527707705755847,-7.0,-0.19606423088129873,-77.0,-2.156706539694286,-0.6336873819999482
