,participant,block,trial,direction,start_pos,start_pos_deg,t_start,t_end,stop_pos,stop_pos_deg,pos_pressed,pos_pressed_deg,error,error_deg,rt
0,P4,1,7,1,-450.0,-12.60412912808349,70.9190841249947,71.26878830199712,126.0,3.5291561558633773,-67.0,-1.8766147812924308,-193.0,-5.405770937155808,-1.402851440005179
1,P4,1,5,1,-450.0,-12.60412912808349,77.98600216499472,78.10286558299413,42.0,1.1763853852877924,54.0,1.5124954953700187,12.0,0.3361101100822264,-0.7520526320076897
2,P4,1,2,2,450.0,12.60412912808349,84.16893653499574,84.40244019500096,-84.0,-2.3527707705755847,41.0,1.1483762094476069,-125.0,-3.5011469800231914,-1.61924352600181
3,P4,1,4,1,-450.0,-12.60412912808349,91.33598672199878,91.31979741499526,0.0,0.0,-78.0,-2.1847157155344714,-78.0,-2.1847157155344714,-1.6688539640017552
4,P4,1,5,2,450.0,12.60412912808349,0.0,98.18582863299525,42.0,1.1763853852877924,80.0,2.240734067214843,-38.0,-1.06434868192705,-0.703497865004465
5,P4,1,2,1,-450.0,-12.60412912808349,0.0,103.98152659300104,-84.0,-2.3527707705755847,-71.0,-1.9886514846531724,13.0,0.36411928592241194,-0.4530476119980449
6,P4,1,6,2,450.0,12.60412912808349,0.0,109.53510372599703,84.0,2.3527707705755847,101.0,2.828926759858738,-17.0,-0.47615598928315406,-0.48624275800102623
7,P4,1,7,2,450.0,12.60412912808349,0.0,115.00228972100012,126.0,3.5291561558633773,126.0,3.5291561558633773,0.0,0.0,0.014060891997360159
8,P4,1,6,1,-450.0,-12.60412912808349,120.31914675200096,120.55174579999584,84.0,2.3527707705755847,10.0,0.28009175840185535,-74.0,-2.072679012173729,-1.0205315350031015
9,P4,1,1,1,-450.0,-12.60412912808349,0.0,126.55238091299543,-126.0,-3.5291561558633773,-116.0,-3.249064397461521,10.0,0.28009175840185535,-0.319284751007217
10,P4,1,3,1,-450.0,-12.60412912808349,0.0,132.08517307299917,-42.0,-1.1763853852877924,-113.0,-3.1650368699409652,-71.0,-1.9886514846531724,-1.1366472660010913
11,P4,1,4,2,450.0,12.60412912808349,138.55214360299578,138.53583556800004,0.0,0.0,53.0,1.4844863195298332,-53.0,-1.4844863195298332,-0.6366084350011079
12,P4,1,1,2,450.0,12.60412912808349,144.50207154399686,144.8523750759996,-126.0,-3.5291561558633773,-56.0,-1.5685138470503899,-70.0,-1.9606423088129872,-0.5866377369966358
13,P4,1,3,2,450.0,12.60412912808349,150.76889278499584,150.88593332899472,-42.0,-1.1763853852877924,34.0,0.9523119785663081,-76.0,-2.1286973638541,-0.2365571460031788
14,P4,2,2,2,450.0,12.60412912808349,191.28553928499605,191.51971747000061,-84.0,-2.3527707705755847,-14.0,-0.39212846176259747,-70.0,-1.9606423088129872,-0.019517264001478907
15,P4,2,4,2,450.0,12.60412912808349,196.85160656799417,196.83633862399438,0.0,0.0,53.0,1.4844863195298332,-53.0,-1.4844863195298332,-0.15141625300748274
16,P4,2,7,2,450.0,12.60412912808349,0.0,201.9524471909972,126.0,3.5291561558633773,123.0,3.4451286283428204,3.0,0.0840275275205566,-0.2689653370034648
17,P4,2,5,1,-450.0,-12.60412912808349,207.5352230629942,207.65196393899532,42.0,1.1763853852877924,-56.0,-1.5685138470503899,-98.0,-2.7448992323381822,-0.3356648040062282
