,participant,block,trial,direction,start_pos,start_pos_deg,t_start,t_end,stop_pos,stop_pos_deg,pos_pressed,pos_pressed_deg,error,error_deg,rt
0,P21,1,1,2,450.0,12.60412912808349,47.95460258000003,48.30477315200005,-126.0,-3.5291561558633773,-46.0,-1.2884220886485345,-80.0,-2.240734067214843,-0.5705420609992871
1,P21,1,3,1,-450.0,-12.60412912808349,0.0,54.07209971500015,-42.0,-1.1763853852877924,-119.0,-3.3330919249820785,-77.0,-2.156706539694286,-0.8038326649993905
2,P21,1,5,1,-450.0,-12.60412912808349,60.18865442900005,60.3056910309997,42.0,1.1763853852877924,-5.0,-0.14004587920092768,-47.0,-1.31643126448872,-0.5370070930002839
3,P21,1,7,2,450.0,12.60412912808349,0.0,65.8059148530001,126.0,3.5291561558633773,148.0,4.145358024347458,-22.0,-0.6162018684840816,-0.6043803509992358
4,P21,1,5,2,450.0,12.60412912808349,0.0,71.60626388699984,42.0,1.1763853852877924,80.0,2.240734067214843,-38.0,-1.06434868192705,-0.37042269699941244
5,P21,1,2,2,450.0,12.60412912808349,77.28900721799982,77.52259498900003,-84.0,-2.3527707705755847,1.0,0.02800917584018553,-85.0,-2.38077994641577,-0.22030272999927547
6,P21,1,2,1,-450.0,-12.60412912808349,0.0,82.82206771199981,-84.0,-2.3527707705755847,-125.0,-3.5011469800231914,-41.0,-1.1483762094476069,-0.70418087500002
7,P21,1,1,1,-450.0,-12.60412912808349,0.0,88.48864407400015,-126.0,-3.5291561558633773,-157.0,-4.397440606909128,-31.0,-0.8682844510457515,-0.5211785849996886
8,P21,1,7,1,-450.0,-12.60412912808349,94.32220628899995,94.67215703900001,126.0,3.5291561558633773,23.0,0.6442110443242672,-103.0,-2.8849451115391096,-0.23753452299933997
9,P21,1,3,2,450.0,12.60412912808349,100.22210412599998,100.33900294599971,-42.0,-1.1763853852877924,6.0,0.1680550550411132,-48.0,-1.3444404403289056,-0.22080291899965232
10,P21,1,4,1,-450.0,-12.60412912808349,105.87250926199977,105.85553738699946,0.0,0.0,-65.0,-1.8205964296120594,-65.0,-1.8205964296120594,-0.5209409999997661
11,P21,1,6,2,450.0,12.60412912808349,0.0,111.43921057499938,84.0,2.3527707705755847,114.0,3.1930460457811503,-30.0,-0.840275275205566,-0.5209224330001234
12,P21,1,4,2,450.0,12.60412912808349,117.2559606169998,117.23932673099989,0.0,0.0,34.0,0.9523119785663081,-34.0,-0.9523119785663081,-0.43769608499951573
13,P21,1,6,1,-450.0,-12.60412912808349,122.9725825179994,123.20598838299975,84.0,2.3527707705755847,30.0,0.840275275205566,-54.0,-1.5124954953700187,-0.2880762139993749
14,P21,2,1,2,450.0,12.60412912808349,159.72365680099938,160.07393994599988,-126.0,-3.5291561558633773,-31.0,-0.8682844510457515,-95.0,-2.660871704817626,-0.3874586479996651
15,P21,2,7,2,450.0,12.60412912808349,0.0,165.4238781160002,126.0,3.5291561558633773,123.0,3.4451286283428204,3.0,0.0840275275205566,-0.2706617029989502
16,P21,2,4,2,450.0,12.60412912808349,171.0078521509995,170.99108376799995,0.0,0.0,46.0,1.2884220886485345,-46.0,-1.2884220886485345,-0.13758765199963818
17,P21,2,6,1,-450.0,-12.60412912808349,176.4412253800001,176.6747143829998,84.0,2.3527707705755847,37.0,1.0363395060868645,-47.0,-1.31643126448872,-0.1706285599993862
18,P21,2,5,2,450.0,12.60412912808349,0.0,182.04110642900014,42.0,1.1763853852877924,98.0,2.7448992323381822,-56.0,-1.5685138470503899,-0.45314633899943146
19,P21,2,2,1,-450.0,-12.60412912808349,0.0,187.5740137949997,-84.0,-2.3527707705755847,-119.0,-3.3330919249820785,-35.0,-0.9803211544064936,-0.10394793399973423
20,P21,2,3,1,-450.0,-12.60412912808349,0.0,192.873640928,-42.0,-1.1763853852877924,-81.0,-2.2687432430550283,-39.0,-1.0923578577672357,-0.22109508299945446
21,P21,2,3,2,450.0,12.60412912808349,198.40714620400013,198.52378623299956,-42.0,-1.1763853852877924,13.0,0.36411928592241194,-55.0,-1.5405046712102042,-0.15396435399998154
22,P21,2,1,1,-450.0,-12.60412912808349,0.0,203.64075059599963,-126.0,-3.5291561558633773,-150.0,-4.201376376027829,-24.0,-0.6722202201644528,-0.3540595949998533
23,P21,2,7,1,-450.0,-12.60412912808349,209.30740074999994,209.6574802089999,126.0,3.5291561558633773,27.0,0.7562477476850094,-99.0,-2.7729084081783677,-0.4870864439999423
24,P21,2,6,2,450.0,12.60412912808349,0.0,215.2239283629997,84.0,2.3527707705755847,112.0,3.1370276941007798,-28.0,-0.7842569235251949,-0.17097706999993534
25,P21,2,4,1,-450.0,-12.60412912808349,220.6908054329997,220.6742489170001,0.0,0.0,-25.0,-0.7002293960046383,-25.0,-0.7002293960046383,-0.3047953619998225
26,P21,2,5,1,-450.0,-12.60412912808349,226.27442323099967,226.39110224500018,42.0,1.1763853852877924,15.0,0.420137637602783,-27.0,-0.7562477476850094,-0.2878253409990066
27,P21,2,2,2,450.0,12.60412912808349,231.97452784799952,232.20763826299935,-84.0,-2.3527707705755847,-37.0,-1.0363395060868645,-47.0,-1.31643126448872,-0.3541887080000379
28,P21,3,6,1,-450.0,-12.60412912808349,254.941310661,255.17490738800007,84.0,2.3527707705755847,-37.0,-1.0363395060868645,-121.0,-3.3891102766624495,-0.720529259999239
29,P21,3,3,2,450.0,12.60412912808349,261.20855198499976,261.32519184099965,-42.0,-1.1763853852877924,-19.0,-0.532174340963525,-23.0,-0.6442110443242672,-0.1871333669996602
30,P21,3,6,2,450.0,12.60412912808349,0.0,266.59213131700017,84.0,2.3527707705755847,114.0,3.1930460457811503,-30.0,-0.840275275205566,-0.4376336599998467
