,participant,block,trial,direction,start_pos,start_pos_deg,t_start,t_end,stop_pos,stop_pos_deg,pos_pressed,pos_pressed_deg,error,error_deg,rt
0,P24,1,4,2,450.0,12.60412912808349,59.501029987999914,59.484151054999984,0.0,0.0,18.0,0.5041651651233395,-18.0,-0.5041651651233395,-0.39734416200008127
1,P24,1,6,1,-450.0,-12.60412912808349,65.16770064599996,65.400839604,84.0,2.3527707705755847,-30.0,-0.840275275205566,-114.0,-3.1930460457811503,-0.77982312000006
2,P24,1,3,1,-450.0,-12.60412912808349,0.0,71.35124596999992,-42.0,-1.1763853852877924,-102.0,-2.8569359356989237,-60.0,-1.680550550411132,-0.1469098690000692
3,P24,1,3,2,450.0,12.60412912808349,76.80121113500002,76.91806162499995,-42.0,-1.1763853852877924,49.0,1.3724496161690911,-91.0,-2.5488350014568835,-0.37989125500007503
4,P24,1,5,1,-450.0,-12.60412912808349,82.60156105800002,82.71813511899995,42.0,1.1763853852877924,-112.0,-3.1370276941007798,-154.0,-4.313413079388572,-0.5794995790000712
5,P24,1,1,1,-450.0,-12.60412912808349,0.0,88.25169526499997,-126.0,-3.5291561558633773,-83.0,-2.3247615947353992,43.0,1.2043945611279778,-0.4800608600000942
6,P24,1,2,2,450.0,12.60412912808349,94.03551935500002,94.26876386799995,-84.0,-2.3527707705755847,85.0,2.38077994641577,-169.0,-4.733550716991355,-0.012922869000135506
7,P24,1,7,1,-450.0,-12.60412912808349,99.58556318499996,99.93570286800002,126.0,3.5291561558633773,-98.0,-2.7448992323381822,-224.0,-6.2740553882015595,-0.2794867569999724
8,P24,1,1,2,450.0,12.60412912808349,105.51928599199994,105.86915162100001,-126.0,-3.5291561558633773,107.0,2.996981814899852,-233.0,-6.526137970763228,-0.06278129100007845
9,P24,1,2,1,-450.0,-12.60412912808349,0.0,111.00247119899996,-84.0,-2.3527707705755847,-41.0,-1.1483762094476069,43.0,1.2043945611279778,-0.513072237000074
10,P24,1,5,2,450.0,12.60412912808349,0.0,116.70171467599994,42.0,1.1763853852877924,53.0,1.4844863195298332,-11.0,-0.3081009342420408,-0.6132002530000591
11,P24,1,6,2,450.0,12.60412912808349,0.0,122.38549166399991,84.0,2.3527707705755847,118.0,3.305082749141893,-34.0,-0.9523119785663081,-0.162835700000187
12,P24,1,7,2,450.0,12.60412912808349,0.0,127.50207376699996,126.0,3.5291561558633773,142.0,3.977302969306345,-16.0,-0.4481468134429685,-0.046407959000134724
13,P24,1,4,1,-450.0,-12.60412912808349,132.85207274599998,132.83565392799994,0.0,0.0,-88.0,-2.4648074739363266,-88.0,-2.4648074739363266,-0.5467455520000613
14,P24,2,5,1,-450.0,-12.60412912808349,226.35357337999994,226.470196675,42.0,1.1763853852877924,-68.0,-1.9046239571326162,-110.0,-3.0810093424204084,-0.2965263920000325
15,P24,2,5,2,450.0,12.60412912808349,0.0,231.95364608299997,42.0,1.1763853852877924,72.0,2.016660660493358,-30.0,-0.840275275205566,0.06946857099990211
