,participant,block,trial,direction,start_pos,start_pos_deg,t_start,t_end,stop_pos,stop_pos_deg,pos_pressed,pos_pressed_deg,error,error_deg,rt
0,P15,1,6,2,450.0,12.60412912808349,0.0,205.26576150599976,84.0,2.3527707705755847,4.0,0.11203670336074212,80.0,2.240734067214843,-1.748881737999909
1,P15,1,2,2,450.0,12.60412912808349,212.29731538899978,212.53097129800062,-84.0,-2.3527707705755847,-56.0,-1.5685138470503899,-28.0,-0.7842569235251949,-0.44999707999886596
2,P15,1,3,1,-450.0,-12.60412912808349,0.0,218.1309888599999,-42.0,-1.1763853852877924,-48.0,-1.3444404403289056,-6.0,-0.1680550550411132,-0.3338019949997033
3,P15,1,1,1,-450.0,-12.60412912808349,0.0,223.3811674110002,-126.0,-3.5291561558633773,-144.0,-4.033321320986716,-18.0,-0.5041651651233395,-0.5162661759995899
4,P15,1,4,1,-450.0,-12.60412912808349,229.16451558100016,229.1479133290004,0.0,0.0,-37.0,-1.0363395060868645,-37.0,-1.0363395060868645,-0.7497615639995274
5,P15,1,4,2,450.0,12.60412912808349,235.16450260700003,235.1476592930003,0.0,0.0,7.0,0.19606423088129873,-7.0,-0.19606423088129873,-0.33341305799967813
6,P15,1,5,2,450.0,12.60412912808349,0.0,240.63118437600042,42.0,1.1763853852877924,38.0,1.06434868192705,4.0,0.11203670336074212,-0.3167325639997216
7,P15,1,1,2,450.0,12.60412912808349,246.21436018399982,246.56452916200033,-126.0,-3.5291561558633773,-75.0,-2.1006881880139145,-51.0,-1.4284679678494618,-0.3836734009992142
8,P15,1,7,2,450.0,12.60412912808349,0.0,251.88126412400015,126.0,3.5291561558633773,110.0,3.0810093424204084,16.0,0.4481468134429685,-0.017659639999692445
9,P15,1,7,1,-450.0,-12.60412912808349,257.1811236150006,257.53141583199977,126.0,3.5291561558633773,47.0,1.31643126448872,-79.0,-2.212724891374657,-0.13307689399971423
10,P15,1,5,1,-450.0,-12.60412912808349,262.9481644920006,263.0645509420001,42.0,1.1763853852877924,-3.0,-0.0840275275205566,-45.0,-1.2604129128083488,-0.1666073549995417
11,P15,1,6,1,-450.0,-12.60412912808349,268.51440026900036,268.74783799299985,84.0,2.3527707705755847,2.0,0.05601835168037106,-82.0,-2.2967524188952138,-0.7167024489999676
12,P15,1,3,2,450.0,12.60412912808349,274.7479968280004,274.8649736460002,-42.0,-1.1763853852877924,-17.0,-0.47615598928315406,-25.0,-0.7002293960046383,-0.616771123000035
13,P15,1,2,1,-450.0,-12.60412912808349,0.0,280.5312971860003,-84.0,-2.3527707705755847,-100.0,-2.800917584018553,-16.0,-0.4481468134429685,-0.8000110299999506
14,P15,2,5,1,-450.0,-12.60412912808349,319.4979741520001,319.6149493849998,42.0,1.1763853852877924,3.0,0.0840275275205566,-39.0,-1.0923578577672357,-0.8332632589999776
15,P15,2,7,2,450.0,12.60412912808349,0.0,325.36548126900016,126.0,3.5291561558633773,135.0,3.7812387384250465,-9.0,-0.25208258256166977,-0.2832015220001267
16,P15,2,1,1,-450.0,-12.60412912808349,0.0,330.5654123250006,-126.0,-3.5291561558633773,-141.0,-3.94929379346616,-15.0,-0.420137637602783,-0.2993298089995733
17,P15,2,3,2,450.0,12.60412912808349,336.13221208699997,336.24779855700035,-42.0,-1.1763853852877924,45.0,1.2604129128083488,-87.0,-2.436798298096141,-0.15083680399948207
18,P15,2,2,1,-450.0,-12.60412912808349,0.0,341.4320932540004,-84.0,-2.3527707705755847,-113.0,-3.1650368699409652,-29.0,-0.8122660993653803,-0.36687768299907475
19,P15,2,3,1,-450.0,-12.60412912808349,0.0,346.9485622829998,-42.0,-1.1763853852877924,-74.0,-2.072679012173729,-32.0,-0.896293626885937,-0.36680624699965847
