,participant,block,trial,direction,start_pos,start_pos_deg,t_start,t_end,stop_pos,stop_pos_deg,pos_pressed,pos_pressed_deg,error,error_deg,rt
0,P9,1,6,1,-450.0,-12.60412912808349,61.50132584999665,61.73491811500571,84.0,2.3527707705755847,1.0,0.02800917584018553,-83.0,-2.3247615947353992,-0.8473947099992074
1,P9,1,3,1,-450.0,-12.60412912808349,0.0,67.80148651399941,-42.0,-1.1763853852877924,-75.0,-2.1006881880139145,-33.0,-0.9243028027261226,-0.5980726050038356
2,P9,1,1,1,-450.0,-12.60412912808349,0.0,73.38450492500851,-126.0,-3.5291561558633773,-155.0,-4.341422255228757,-29.0,-0.8122660993653803,-1.0961714000004577
3,P9,1,7,2,450.0,12.60412912808349,0.0,79.46912399800203,126.0,3.5291561558633773,150.0,4.201376376027829,-24.0,-0.6722202201644528,-0.9785870360065019
4,P9,1,3,2,450.0,12.60412912808349,85.78445665999607,85.90110947399808,-42.0,-1.1763853852877924,48.0,1.3444404403289056,-90.0,-2.5208258256166975,-0.6976698120124638
5,P9,1,5,1,-450.0,-12.60412912808349,91.9176431310043,92.03446884600271,42.0,1.1763853852877924,-45.0,-1.2604129128083488,-87.0,-2.436798298096141,-0.8810405969998101
6,P9,1,4,2,450.0,12.60412912808349,98.23533289199986,98.21829838200938,0.0,0.0,39.0,1.0923578577672357,-39.0,-1.0923578577672357,-0.8629396149917739
7,P9,1,5,2,450.0,12.60412912808349,0.0,104.2854091909976,42.0,1.1763853852877924,107.0,2.996981814899852,-65.0,-1.8205964296120594,-0.7961150550108869
8,P9,1,2,2,450.0,12.60412912808349,110.40218715000083,110.6363785200083,-84.0,-2.3527707705755847,23.0,0.6442110443242672,-107.0,-2.996981814899852,-0.8117717400018591
9,P9,1,2,1,-450.0,-12.60412912808349,0.0,116.53478546699625,-84.0,-2.3527707705755847,-121.0,-3.3891102766624495,-37.0,-1.0363395060868645,-0.7461472950089956
10,P9,1,4,1,-450.0,-12.60412912808349,122.60108970500005,122.58505454800616,0.0,0.0,-68.0,-1.9046239571326162,-68.0,-1.9046239571326162,-0.36312502399960067
11,P9,1,6,2,450.0,12.60412912808349,0.0,128.051931480004,84.0,2.3527707705755847,132.0,3.6972112109044906,-48.0,-1.3444404403289056,-0.2127807950018905
12,P9,1,7,1,-450.0,-12.60412912808349,133.60180100800062,133.9513354619994,126.0,3.5291561558633773,39.0,1.0923578577672357,-87.0,-2.436798298096141,-0.5295291890070075
13,P9,1,1,2,450.0,12.60412912808349,139.81731624199892,140.1676673000038,-126.0,-3.5291561558633773,23.0,0.6442110443242672,-149.0,-4.173367200187644,-0.5464879560022382
14,P9,2,4,1,-450.0,-12.60412912808349,181.7852839410043,181.76858752200496,0.0,0.0,-75.0,-2.1006881880139145,-75.0,-2.1006881880139145,-0.445950424997136
15,P9,2,6,2,450.0,12.60412912808349,0.0,187.31782175099943,84.0,2.3527707705755847,113.0,3.1650368699409652,-29.0,-0.8122660993653803,-0.5470690580114024
16,P9,2,6,1,-450.0,-12.60412912808349,193.18505183600064,193.41842613799963,84.0,2.3527707705755847,-37.0,-1.0363395060868645,-121.0,-3.3891102766624495,-0.24658504500985146
17,P9,2,2,1,-450.0,-12.60412912808349,0.0,198.75257810400217,-84.0,-2.3527707705755847,-125.0,-3.5011469800231914,-41.0,-1.1483762094476069,-0.16296672300086357
18,P9,2,5,1,-450.0,-12.60412912808349,204.23514636300388,204.35200519500358,42.0,1.1763853852877924,-48.0,-1.3444404403289056,-90.0,-2.5208258256166975,-0.11361095099709928
19,P9,2,2,2,450.0,12.60412912808349,209.78470813299646,210.01781754200056,-84.0,-2.3527707705755847,30.0,0.840275275205566,-114.0,-3.1930460457811503,-0.18095298200205434
20,P9,2,5,2,450.0,12.60412912808349,0.0,215.40186200400058,42.0,1.1763853852877924,82.0,2.2967524188952138,-40.0,-1.1203670336074214,-0.17902429500827566
21,P9,2,3,1,-450.0,-12.60412912808349,0.0,220.78485554800136,-42.0,-1.1763853852877924,-76.0,-2.1286973638541,-34.0,-0.9523119785663081,-0.4630304320016876
22,P9,2,7,1,-450.0,-12.60412912808349,226.58475311299844,226.93516958900727,126.0,3.5291561558633773,32.0,0.896293626885937,-94.0,-2.63286252897744,-0.3460653509973781
23,P9,2,4,2,450.0,12.60412912808349,232.61815270200896,232.60204887599684,0.0,0.0,53.0,1.4844863195298332,-53.0,-1.4844863195298332,-0.11307784701057244
24,P9,2,1,1,-450.0,-12.60412912808349,0.0,237.70114468999964,-126.0,-3.5291561558633773,-125.0,-3.5011469800231914,1.0,0.02800917584018553,-0.4301513120008167
25,P9,2,3,2,450.0,12.60412912808349,243.46717809900292,243.58399521600222,-42.0,-1.1763853852877924,50.0,1.4004587920092766,-92.0,-2.576844177297069,-0.06342457100981846
26,P9,2,1,2,450.0,12.60412912808349,248.9852108250052,249.33458947199688,-126.0,-3.5291561558633773,-13.0,-0.36411928592241194,-113.0,-3.1650368699409652,-0.3817052150116069
27,P9,2,7,2,450.0,12.60412912808349,0.0,254.71807448200707,126.0,3.5291561558633773,155.0,4.341422255228757,-29.0,-0.8122660993653803,-0.39774041999771725
28,P9,3,3,2,450.0,12.60412912808349,287.7349486699968,287.8518036410096,-42.0,-1.1763853852877924,65.0,1.8205964296120594,-107.0,-2.996981814899852,-0.5465520010038745
29,P9,3,1,2,450.0,12.60412912808349,293.73516836699855,294.08517550599936,-126.0,-3.5291561558633773,19.0,0.532174340963525,-145.0,-4.061330496826902,-0.1802355150139192
30,P9,3,4,1,-450.0,-12.60412912808349,299.58554412399826,299.5687029460096,0.0,0.0,-51.0,-1.4284679678494618,-51.0,-1.4284679678494618,-0.39699085098982323
31,P9,3,6,1,-450.0,-12.60412912808349,305.2847213799978,305.51797866800916,84.0,2.3527707705755847,-21.0,-0.5881926926438962,-105.0,-2.940963463219481,-0.49670561599486973
32,P9,3,4,2,450.0,12.60412912808349,311.33512752900424,311.318183698997,0.0,0.0,79.0,2.212724891374657,-79.0,-2.212724891374657,-0.11347131201182492
